#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
-0.319         -1.545          eV/angstrom    0.154    0.0104    0.658     21    2     forces('Ar32_frame001')
+0.195         +1.044          eV/angstrom    0.154    0.0104    0.315     22    0     forces('Ar32_frame001')
+0.054         +0.307          eV/angstrom    0.154    0.0104    0.028     22    1     forces('Ar32_frame001')
-0.292         -1.361          eV/angstrom    0.154    0.0104    0.500     22    2     forces('Ar32_frame001')
+0.036         +0.195          eV/angstrom    0.154    0.0104    0.011     23    0     forces('Ar32_frame001')
-0.118         -0.623          eV/angstrom    0.154    0.0104    0.112     23    1     forces('Ar32_frame001')
+0.009         +0.025          eV/angstrom    0.154    0.0104    0.000     23    2     forces('Ar32_frame001')
+0.127         +0.632          eV/angstrom    0.154    0.0104    0.112     24    0     forces('Ar32_frame001')
+0.083         +0.367          eV/angstrom    0.154    0.0104    0.035     24    1     forces('Ar32_frame001')
+0.016         +0.066          eV/angstrom    0.154    0.0104    0.001     24    2     forces('Ar32_frame001')
+0.105         +0.493          eV/angstrom    0.154    0.0104    0.066     25    0     forces('Ar32_frame001')
+0.188         +0.954          eV/angstrom    0.154    0.0104    0.256     25    1     forces('Ar32_frame001')
-0.036         -0.200          eV/angstrom    0.154    0.0104    0.012     25    2     forces('Ar32_frame001')
-0.035         -0.198          eV/angstrom    0.154    0.0104    0.012     26    0     forces('Ar32_frame001')
-0.038         -0.204          eV/angstrom    0.154    0.0104    0.012     26    1     forces('Ar32_frame001')
+0.002         +0.009          eV/angstrom    0.154    0.0104    0.000     26    2     forces('Ar32_frame001')
+0.054         +0.269          eV/angstrom    0.154    0.0104    0.020     27    0     forces('Ar32_frame001')
+0.023         +0.104          eV/angstrom    0.154    0.0104    0.003     27    1     forces('Ar32_frame001')
+0.084         +0.477          eV/angstrom    0.154    0.0104    0.068     27    2     forces('Ar32_frame001')
+0.061         +0.379          eV/angstrom    0.154    0.0104    0.044     28    0     forces('Ar32_frame001')
+0.010         +0.092          eV/angstrom    0.154    0.0104    0.003     28    1     forces('Ar32_frame001')
-0.011         -0.088          eV/angstrom    0.154    0.0104    0.003     28    2     forces('Ar32_frame001')
+0.023         +0.148          eV/angstrom    0.154    0.0104    0.007     29    0     forces('Ar32_frame001')
+0.017         +0.114          eV/angstrom    0.154    0.0104    0.004     29    1     forces('Ar32_frame001')
+0.004         +0.011          eV/angstrom    0.154    0.0104    0.000     29    2     forces('Ar32_frame001')
-0.073         -0.351          eV/angstrom    0.154    0.0104    0.034     30    0     forces('Ar32_frame001')
+0.097         +0.488          eV/angstrom    0.154    0.0104    0.067     30    1     forces('Ar32_frame001')
+0.085         +0.478          eV/angstrom    0.154    0.0104    0.068     30    2     forces('Ar32_frame001')
+0.212         +1.024          eV/angstrom    0.154    0.0104    0.288     31    0     forces('Ar32_frame001')
-0.210         -1.074          eV/angstrom    0.154    0.0104    0.327     31    1     forces('Ar32_frame001')
