LAMMPS data file via write_data, version 17 Apr 2024, timestep = 30000, units = real

576 atoms
2 atom types

-12.086782071120057 32.67235978271738 xlo xhi
2.3416256227256733 18.243952088867076 ylo yhi
1.3963998840299734 19.189177827564066 zlo zhi

Masses

1 28.0855
2 15.999

Atoms # full

290 33 1 1.947889490520728 -6.065912128692028 6.228817659327954 4.956160328389549 0 2 -1
488 55 1 1.97342179713164 -6.4515959298793915 5.575959285942316 7.863346567671276 1 1 -1
124 14 2 -1.014613515341165 -5.840923532395313 6.128284986381082 6.5138526751714325 -3 -3 2
210 24 1 1.925705020030204 -6.150291713185801 8.317490451264419 9.184271521956521 1 -1 -5
419 47 2 -0.9496291230283228 -6.731156088140261 6.7773197880676745 8.90572697417724 -8 -1 -1
536 60 2 -0.9631150325375156 -6.8187446204285305 4.933559047874523 4.39358616811129 1 4 2
404 45 2 -0.9454606360453612 -6.920461544322047 7.614696181728956 4.5793029860546195 6 -3 4
198 22 2 -0.9347397408716267 -8.147015579447066 8.54697966150762 2.6328494975382593 6 -3 0
137 16 1 1.855142808564606 -9.374510783048873 5.12563546103911 8.210481267038556 2 2 -1
120 14 1 2.00326227612935 -7.821903000828498 3.6517887205309525 4.152930616176442 -4 5 -5
260 29 2 -0.966711811304626 -9.838406588811356 6.682058536226216 8.310722623070008 -1 -1 2
61 7 2 -0.9761762794793926 -7.903120861371774 4.977231293991704 7.594111009824629 -6 4 -1
159 18 2 -0.9281968096758543 -7.45130340588436 9.095004370168043 9.753355685451353 2 2 -14
332 37 2 -0.9529752146272914 -8.05766189401606 3.147671814419107 2.616112807115048 -2 0 -2
507 57 1 1.93031873699859 -7.819018895337093 8.832636365342696 4.166810798274126 -3 -5 6
126 14 2 -1.01341446517249 -9.192185558178593 4.0867849444763005 4.7908252688430535 -4 6 4
302 34 2 -0.8955538854716167 -9.991322407856314 9.240638519082612 9.19336749553082 -2 -3 5
374 42 2 -0.9605653972727095 -8.99314964415809 8.943179485446471 5.247208691350223 -2 0 -6
4 1 2 -0.8905049162724217 -10.375973111077329 4.36989265944053 7.1803705550026935 1 -2 5
36 4 2 -0.9344098963615161 -9.425623750797426 4.198345471966908 9.515379429181095 3 2 2
110 13 1 1.82089225073446 -10.768891790417001 8.02181107954537 8.406899925952215 2 3 -5
