s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_LJ AIR
 1.0486445E-001, 0.0000000E+000, 0.0000000E+000,-2.5401903E-016, 7.0811467E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8864116E-015, 4.5409564E-016, 2.4414787E-003
 1.0760686E-001, 0.0000000E+000, 0.0000000E+000,-2.3980817E-016, 6.3526337E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4250176E-014, 3.9545520E-016, 2.5065708E-003
 1.1034927E-001, 0.0000000E+000, 0.0000000E+000,-2.6112446E-016, 6.0320880E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1818822E-015, 3.4208434E-016, 2.5716257E-003
 1.1309168E-001, 0.0000000E+000, 0.0000000E+000,-2.6290081E-016, 6.6148984E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4773527E-015, 3.9858903E-016, 2.6366423E-003
 1.1583409E-001, 0.0000000E+000, 0.0000000E+000,-2.7533531E-016, 7.8388003E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5909411E-015, 5.0854472E-016, 2.7016197E-003
 1.1824366E-001, 0.0000000E+000, 0.0000000E+000,-2.5401903E-016, 7.7222382E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4744174E-015, 5.1820479E-016, 2.7665570E-003
 1.2065323E-001, 0.0000000E+000, 0.0000000E+000,-2.6112446E-016, 8.2176271E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3720871E-015, 5.6063825E-016, 2.8235792E-003
 1.2306280E-001, 0.0000000E+000, 0.0000000E+000,-2.5934810E-016, 8.6547349E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3269757E-014, 6.0612539E-016, 2.8805690E-003
 1.2547238E-001, 0.0000000E+000, 0.0000000E+000,-2.5579538E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6504509E-016, 2.9375259E-003
 1.2788194E-001, 0.0000000E+000, 0.0000000E+000,-2.5579538E-016, 8.5673133E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0320922E-014, 6.0093595E-016, 2.9944491E-003
 1.3029152E-001, 0.0000000E+000, 0.0000000E+000,-2.7000624E-016, 8.4507512E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8976697E-015, 5.7506888E-016, 3.0513382E-003
 1.3242538E-001, 0.0000000E+000, 0.0000000E+000,-2.4336089E-016, 8.6255944E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6649247E-015, 6.1919855E-016, 3.1081923E-003
 1.3455923E-001, 0.0000000E+000, 0.0000000E+000,-2.7000624E-016, 8.5090323E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6649247E-015, 5.8089699E-016, 3.1585114E-003
 1.3669309E-001, 0.0000000E+000, 0.0000000E+000,-2.5224267E-016, 8.3050486E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9895482E-015, 5.7826219E-016, 3.2088022E-003
 1.3882695E-001, 0.0000000E+000, 0.0000000E+000,-2.5934810E-016, 8.5381728E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6596988E-015, 5.9446918E-016, 3.2590643E-003
 1.4096081E-001, 0.0000000E+000, 0.0000000E+000,-2.7711167E-016, 8.5964538E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9947741E-015, 5.8253372E-016, 3.3092973E-003
 1.4309467E-001, 0.0000000E+000, 0.0000000E+000,-2.7711167E-016, 8.8004375E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9947741E-015, 6.0293208E-016, 3.3595007E-003
 1.4522853E-001, 0.0000000E+000, 0.0000000E+000,-2.7355895E-016, 8.9169996E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1814100E-016, 3.4096742E-003
 1.4713892E-001, 0.0000000E+000, 0.0000000E+000,-2.4868996E-016, 9.4998100E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8596740E-015, 7.0129104E-016, 3.4598172E-003
 1.4904933E-001, 0.0000000E+000, 0.0000000E+000,-2.7711167E-016, 9.4706695E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8596740E-015, 6.6995528E-016, 3.5046829E-003
 1.5095972E-001, 0.0000000E+000, 0.0000000E+000,-2.7000624E-016, 9.3832479E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4877392E-014, 6.6831855E-016, 3.5495236E-003
 1.5287012E-001, 0.0000000E+000, 0.0000000E+000,-2.6290081E-016, 8.6547349E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5790221E-015, 6.0257268E-016, 3.5943390E-003
 1.5478051E-001, 0.0000000E+000, 0.0000000E+000,-2.7711167E-016, 8.1884865E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7193481E-015, 5.4173699E-016, 3.6391287E-003
 1.5669091E-001, 0.0000000E+000, 0.0000000E+000,-2.8066438E-016, 8.0719245E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2652806E-016, 3.6838925E-003
 1.5860130E-001, 0.0000000E+000, 0.0000000E+000,-2.6290081E-016, 8.4507512E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8596740E-015, 5.8217431E-016, 3.7286300E-003
 1.6051170E-001, 0.0000000E+000, 0.0000000E+000,-2.7000624E-016, 8.5964538E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8596740E-015, 5.8963914E-016, 3.7733410E-003
 1.6242209E-001, 0.0000000E+000, 0.0000000E+000,-3.0198066E-016, 8.8004375E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1158044E-014, 5.7806309E-016, 3.8180251E-003
 1.6413125E-001, 0.0000000E+000, 0.0000000E+000,-2.7000624E-016, 8.8004375E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1003751E-016, 3.8626820E-003
 1.6584042E-001, 0.0000000E+000, 0.0000000E+000,-2.9132252E-016, 8.6547349E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1572480E-015, 5.7415097E-016, 3.9026118E-003
 1.6754960E-001, 0.0000000E+000, 0.0000000E+000,-2.9842795E-016, 8.9169996E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3144960E-015, 5.9327201E-016, 3.9425194E-003
 1.6925876E-001, 0.0000000E+000, 0.0000000E+000,-2.9487524E-016, 9.1209832E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1572480E-015, 6.1722309E-016, 3.9824046E-003
 1.7096792E-001, 0.0000000E+000, 0.0000000E+000,-2.9842795E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0786240E-015, 6.2241253E-016, 4.0222671E-003
 1.7267708E-001, 0.0000000E+000, 0.0000000E+000,-2.8066438E-016, 9.2666858E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0786240E-015, 6.4600420E-016, 4.0621068E-003
 1.7438625E-001, 0.0000000E+000, 0.0000000E+000,-3.0908609E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2358720E-015, 6.1175439E-016, 4.1019234E-003
 1.7609543E-001, 0.0000000E+000, 0.0000000E+000,-3.0198066E-016, 9.1792643E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2358720E-015, 6.1594576E-016, 4.1417168E-003
 1.7780459E-001, 0.0000000E+000, 0.0000000E+000,-3.0908609E-016, 9.3249669E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2358720E-015, 6.2341060E-016, 4.1814867E-003
 1.7951375E-001, 0.0000000E+000, 0.0000000E+000,-2.8776981E-016, 9.2958264E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4181283E-016, 4.2212329E-003
 1.8122292E-001, 0.0000000E+000, 0.0000000E+000,-3.1263880E-016, 9.2375453E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1572480E-015, 6.1111573E-016, 4.2609552E-003
 1.8276052E-001, 0.0000000E+000, 0.0000000E+000,-3.0553338E-016, 9.4123884E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3570547E-016, 4.3006535E-003
 1.8429813E-001, 0.0000000E+000, 0.0000000E+000,-2.9842795E-016, 9.3249669E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3406874E-016, 4.3363461E-003
 1.8583573E-001, 0.0000000E+000, 0.0000000E+000,-3.1263880E-016, 9.3249669E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9316439E-015, 6.1985788E-016, 4.3720190E-003
 1.8737334E-001, 0.0000000E+000, 0.0000000E+000,-2.9132252E-016, 9.4123884E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6210959E-015, 6.4991632E-016, 4.4076718E-003
 1.8891095E-001, 0.0000000E+000, 0.0000000E+000,-3.0198066E-016, 9.3832479E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6210959E-015, 6.3634413E-016, 4.4433046E-003
 1.9044855E-001, 0.0000000E+000, 0.0000000E+000,-2.9842795E-016, 9.4123884E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3105480E-015, 6.4281090E-016, 4.4789170E-003
 1.9198616E-001, 0.0000000E+000, 0.0000000E+000,-3.3040237E-016, 9.4415290E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3105480E-015, 6.1375052E-016, 4.5145090E-003
 1.9352376E-001, 0.0000000E+000, 0.0000000E+000,-3.3040237E-016, 9.4706695E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1666458E-016, 4.5500804E-003
 1.9506137E-001, 0.0000000E+000, 0.0000000E+000,-3.0908609E-016, 9.2958264E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2049655E-016, 4.5856310E-003
 1.9659898E-001, 0.0000000E+000, 0.0000000E+000,-3.1619152E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0464896E-016, 4.6211608E-003
