s,Pa,m/s,
Time,"pres","error","iter"
 2.0274941E-001, 5.7262423E-002, 8.4542326E-005, 1.0000000E+000
 2.0413317E-001, 5.7233113E-002, 6.2330727E-005, 1.0000000E+000
 2.0551694E-001, 5.7200966E-002, 6.4331525E-005, 1.0000000E+000
 2.0690070E-001, 5.7168627E-002, 6.7808869E-005, 1.0000000E+000
 2.0828446E-001, 5.7136097E-002, 6.9753150E-005, 1.0000000E+000
 2.0966823E-001, 5.7103376E-002, 7.1396724E-005, 1.0000000E+000
 2.1105199E-001, 5.7070465E-002, 7.3201906E-005, 1.0000000E+000
 2.1243575E-001, 5.7037363E-002, 7.4677593E-005, 1.0000000E+000
 2.1381952E-001, 5.7004073E-002, 7.5269290E-005, 1.0000000E+000
 2.1520328E-001, 5.6970593E-002, 7.4912848E-005, 1.0000000E+000
 2.1658704E-001, 5.6936925E-002, 7.4009431E-005, 1.0000000E+000
 2.1797081E-001, 5.6903068E-002, 7.3102985E-005, 1.0000000E+000
 2.1935457E-001, 5.6869024E-002, 7.2590715E-005, 1.0000000E+000
 2.2073833E-001, 5.6834794E-002, 7.2610049E-005, 1.0000000E+000
 2.2212210E-001, 5.6800376E-002, 7.3076518E-005, 1.0000000E+000
 2.2350586E-001, 5.6765773E-002, 7.3788742E-005, 1.0000000E+000
 2.2488962E-001, 5.6730984E-002, 7.4533205E-005, 1.0000000E+000
 2.2627339E-001, 5.6696009E-002, 7.5155476E-005, 1.0000000E+000
 2.2765715E-001, 5.6660851E-002, 7.5589479E-005, 1.0000000E+000
 2.2890173E-001, 5.6631738E-002, 5.5260453E-005, 1.0000000E+000
 2.3014631E-001, 5.6599823E-002, 5.6342853E-005, 1.0000000E+000
 2.3139089E-001, 5.6567759E-002, 5.8882004E-005, 1.0000000E+000
 2.3263546E-001, 5.6535547E-002, 6.0293372E-005, 1.0000000E+000
 2.3388004E-001, 5.6503188E-002, 6.1688864E-005, 1.0000000E+000
 2.3512462E-001, 5.6470682E-002, 6.3416224E-005, 1.0000000E+000
 2.3636920E-001, 5.6438029E-002, 6.4927770E-005, 1.0000000E+000
 2.3761378E-001, 5.6405230E-002, 6.5623197E-005, 1.0000000E+000
 2.3885836E-001, 5.6372284E-002, 6.5379403E-005, 1.0000000E+000
 2.4010294E-001, 5.6339193E-002, 6.4538994E-005, 1.0000000E+000
 2.4134751E-001, 5.6305957E-002, 6.3612326E-005, 1.0000000E+000
 2.4259209E-001, 5.6272576E-002, 6.2998529E-005, 1.0000000E+000
 2.4383667E-001, 5.6239050E-002, 6.2864010E-005, 1.0000000E+000
 2.4508125E-001, 5.6205380E-002, 6.3162362E-005, 1.0000000E+000
 2.4632583E-001, 5.6171567E-002, 6.3723199E-005, 1.0000000E+000
 2.4757041E-001, 5.6137610E-002, 6.4348581E-005, 1.0000000E+000
 2.4881499E-001, 5.6103510E-002, 6.4883988E-005, 1.0000000E+000
 2.5005957E-001, 5.6069268E-002, 6.5252640E-005, 1.0000000E+000
 2.5130414E-001, 5.6034883E-002, 6.5455385E-005, 1.0000000E+000
 2.5254872E-001, 5.6000357E-002, 6.5546660E-005, 1.0000000E+000
 2.5379330E-001, 5.5965689E-002, 6.5600796E-005, 1.0000000E+000
 2.5503788E-001, 5.5930880E-002, 6.5682013E-005, 1.0000000E+000
 2.5628246E-001, 5.5895931E-002, 6.5826622E-005, 1.0000000E+000
 2.5740171E-001, 5.5867037E-002, 4.7881390E-005, 1.0000000E+000
 2.5852096E-001, 5.5835383E-002, 4.9104703E-005, 1.0000000E+000
 2.5964022E-001, 5.5803617E-002, 5.1599900E-005, 1.0000000E+000
 2.6075947E-001, 5.5771738E-002, 5.2951913E-005, 1.0000000E+000
 2.6187872E-001, 5.5739747E-002, 5.4156089E-005, 1.0000000E+000
 2.6299797E-001, 5.5707644E-002, 5.5575712E-005, 1.0000000E+000
 2.6411723E-001, 5.5675429E-002, 5.6775778E-005, 1.0000000E+000
 2.6523648E-001, 5.5643102E-002, 5.7260476E-005, 1.0000000E+000
 2.6635573E-001, 5.5610665E-002, 5.6943208E-005, 1.0000000E+000
 2.6747499E-001, 5.5578116E-002, 5.6135915E-005, 1.0000000E+000
 2.6859424E-001, 5.5545457E-002, 5.5285810E-005, 1.0000000E+000
 2.6971349E-001, 5.5512688E-002, 5.4732583E-005, 1.0000000E+000
 2.7083274E-001, 5.5479809E-002, 5.4607435E-005, 1.0000000E+000
 2.7195200E-001, 5.5446820E-002, 5.4856672E-005, 1.0000000E+000
 2.7307125E-001, 5.5413722E-002, 5.5323486E-005, 1.0000000E+000
 2.7419050E-001, 5.5380514E-002, 5.5833266E-005, 1.0000000E+000
 2.7530975E-001, 5.5347198E-002, 5.6254220E-005, 1.0000000E+000
 2.7642901E-001, 5.5313773E-002, 5.6524804E-005, 1.0000000E+000
 2.7866751E-001, 5.5263420E-002, 5.6667806E-005, 1.0000000E+000
 2.8090602E-001, 5.5195924E-002, 5.6708138E-005, 1.0000000E+000
 2.8202527E-001, 5.5145033E-002, 5.6818060E-005, 1.0000000E+000
 2.8426377E-001, 5.5093876E-002, 5.7067762E-005, 1.0000000E+000
 2.8650228E-001, 5.5025313E-002, 5.7475407E-005, 1.0000000E+000
 2.8874078E-001, 5.4956327E-002, 5.7831408E-005, 1.0000000E+000
 2.9086423E-001, 5.4890833E-002, 5.0462835E-005, 1.0000000E+000
 2.9287261E-001, 5.4828801E-002, 4.4009484E-005, 1.0000000E+000
 2.9488099E-001, 5.4765864E-002, 4.6639241E-005, 1.0000000E+000
 2.9688937E-001, 5.4702595E-002, 4.8865821E-005, 1.0000000E+000
 2.9889776E-001, 5.4638995E-002, 4.9690369E-005, 1.0000000E+000
 3.0090614E-001, 5.4575065E-002, 4.8440918E-005, 1.0000000E+000
 3.0291452E-001, 5.4510808E-002, 4.7445179E-005, 1.0000000E+000
 3.0492290E-001, 5.4446226E-002, 4.7729731E-005, 1.0000000E+000
 3.0693128E-001, 5.4381320E-002, 4.8507079E-005, 1.0000000E+000
 3.0893967E-001, 5.4316092E-002, 4.8936861E-005, 1.0000000E+000
 3.1094805E-001, 5.4250544E-002, 4.8969025E-005, 1.0000000E+000
 3.1295643E-001, 5.4184678E-002, 4.8977398E-005, 1.0000000E+000
 3.1496481E-001, 5.4118495E-002, 4.9169826E-005, 1.0000000E+000
 3.1697319E-001, 5.4051997E-002, 4.9463762E-005, 1.0000000E+000
 3.1898158E-001, 5.3985187E-002, 4.9714621E-005, 1.0000000E+000
 3.2098996E-001, 5.3918066E-002, 4.9890571E-005, 1.0000000E+000
 3.2299834E-001, 5.3850636E-002, 5.0047301E-005, 1.0000000E+000
 3.2400253E-001, 5.3799872E-002, 5.0180156E-005, 1.0000000E+000
 3.2601091E-001, 5.3748916E-002, 5.0330249E-005, 1.0000000E+000
